CORE_PROJECT_NUM,PROJECT_TITLE,PI_NAMEs,ORG_NAME
CONF_3226,Neonatal Brain Exposure to Nanoplastics via Oral Route: Size-Dependent Uptake and Regional Localization,Fumihiko Maekawa,"National Institute for Environmental Studies, Japan"
CONF_3231,#MicroplasticFreeUS: a comprehensive policy approach to addressing microplastic pollution by the 5 Gyres Institute,o addressing microplastic pollution by the 5 Gyres,Institute
CONF_3232,A Comprehensive Approach for Quality Control and Sample Flagging in PY-GC-HRMS Micro- and Nanoplastic Quantitation within Human Samples Utilizing Skyline and R-Programming,mple Flagging in PY-GC-HRMS Micro- and Nanoplastic,
CONF_3233,A Pilot Study of Plastic Polymers from Marine Microplastics in Whale Blubber,Idoia Meaza,
CONF_3234,A Robust Pyrolysis–GC/MS Workflow for Identifying Micro- and Nanoplastics in Biological and Environmental Matrices,- and Nanoplastics in Biological and Environmental,
CONF_3235,A machine-learning powered pipeline for microplastic quantification and classification using Py-GC/HRMS: Toward generalizable microplastic exposure assessment,Yingyue Ni,"1 Department of Environmental Health, Boston University School of Public Health, Boston, Massachusetts | 2 Gangarosa Department of Environmental Health, Rollins School of Public Health, Emory University, Atlanta, GA"
CONF_3237,Agency for Toxic Substances and Disease Registry Resources for Interactive Visualizations of Micro- and Nanoplastics and Human Health Research Data,Custodio V. Muianga,"1 Agency for Toxic Substance and Disease Registry (ATSDR), Office of Innovation and Analytics, Atlanta, GA | 2 CDC-ATSDR ORISE Fellowship, Atlanta, GA | 3 ATSDR, Office of ATSDR Associate Director, Atlanta, GA"
CONF_3239,Automated Quantification Microplastics in membrane filtration using flow cytometry and machine learning,Ramesh Ganpissetti,"Department of Biotechnology, Alliance University, Bengaluru, India | *Email of Corresponding Author: radhika.chandankere@alliance.edu.in | Accurate characterization of microplastics (MPs) in complex environmental water systems is critical for reliable risk | assessment While flow cytometry (FC) enables rapid, high-throughput quantification and basic size determination, it"
CONF_3241,Challenges and Opportunities in the Toxicology of Microplastics in Ambient Air 69,Sabina Halappanavar,"1 Environmental Health Science and Research Bureau, Health Canada | 2 Department of Biology, University of Ottawa, Ottawa, Canada"
CONF_3243,"Determining human exposures and internalisation of micro and nanoplastics, an update from the Minderoo Centre – Plastics and Human Health",nanoplastics,
CONF_3244,Developing In-House Techniques for Creating Calibration and Quality Control Materials of Microplastics,Ronald Smith,"Gangarosa Department of Environmental Health, Rollins School of Public Health, Emory University, Atlanta, Georgia, USA"
CONF_3245,Developing Multispectral Fluorescence Imaging (FIMAP) for accessible Microplastic Detection and Identification in Environmental Systems,sible Microplastic Detection and Identification in,
CONF_3247,"Elevated temperatures and extended periods accelerate the release of nano- and microplastics from thermoplastic packaging into foods, raising the risk of human exposure",Muhammad Saiful Islam,"Yongfeng Lu2, Yusong Li1 | 1 Department of Civil and Environmental Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska 68588-0531, United States | 2 Department of Electrical & Computer Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska 68588-0511, United States | 3 Department of Mechanical & Materials Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska 68588-0526, United States"
CONF_3249,Engineering Vibrio natriegens for degrading and assimilating poly(ethylene terepthalate) microplastics,Tianyu Li,"1 North Carolina State University, Chemical and Biomolecular Engineering Department | 2 North Carolina State University, Center for Human Health and the Environment"
CONF_3250,Environmental microplastics - from our households to our rivers and oceans and back to our table Granek,"lds to our rivers and oceans and back to our table""",
CONF_3253,Evaluation of Micro- and Nanoplastics Accumulation in Alzheimer's and Related Dementias,Kiran Bhaskar,"1 Department of Molecular Genetics and Microbiology, University of New Mexico School of Medicine, Albuquerque, NM | 2 Department of Pharmaceutical Sciences, University of New Mexico College of Pharmacy, Albuquerque, NM"
CONF_3255,Exposure of Micro- and Nano-plastics in Common Soft Drinks in the US,Han Ngoc Nguyen-Luu,"1 Undergraduate Program of Sustainable Development, Columbia University | 2 Lamont-Doherty Earth Observatory, Columbia University) | 3 Department of Chemistry, Columbia University"
CONF_3257,Exposure to Polystyrene Microplastics Potentiates Macrophage-Mediated Proinflammatory Responses,Lauren K. Heine,
CONF_3258,From Behavior to Exposure: Integrating Expert Weighting and Machine Learning to Assess Multidimensional Drivers,of Nano- and Microplastic Exposure Risk,"Cesar Augusto Gómez Peña1, Andrew Stiven Ortiz Balsero2, Kazi Albab Hussain1, Seulki Kim3, Mohammad Rashedul Hasan5, | Bing Wang2, Changmin Yan4, Yusong Li1 | 1 Department of Civil & Environmental Engineering, University of Nebraska-Lincoln, Lincoln, NE | 2 Department of Food Science and Technology, University of Nebraska-Lincoln, Lincoln, NE | 3 Department of Sociology, University of Nebraska-Lincoln, Lincoln, NE"
CONF_3259,From Ocean to Organism: Decoding the Cellular Impact of Microplastic Exposure on Peripheral Blood Mononuclear Cells (PBMCs),Edgar U. Carrete,1 University of New Mexico School of Medicine
CONF_3260,Indoor Hospital Airborne Microplastic Contamination and Antimicrobial-Resistant Pathogens,Dr. Maryam Hamidi,"1 University of New Mexico, College of Nursing | 2 University of New Mexico, College of Pharmacy | 3 University of New Mexico, College of Engineering | 4 University of New Mexico"
CONF_3264,Maternal Transfer and Systemic Deposition of Polyamide-12 Micro and Nanoplastics Into the F1 Generation: a Cross-Foster Rat Study,Justin Kidd,1 Rutgers University | 2 University of New Mexico | 3 New Jersey Department of Environmental Protection
CONF_3266,Micro and nanoplastic inhalation throughout pregnancy disrupts placental invasion and morphology in SpragueDawley rats,Phoebe A Stapleton,"M Aleksunes1, Chelsea M Cary1 | 1 Department of Pharmacology and Toxicology and Environmental and Occupational Health Sciences Institute, Rutgers University, Piscataway, New Jersey 08854, USA"
CONF_3267,Micro- and Nanoplastics Release and Toxicity from Disposable Coffee Cups under Consumer-Relevant Conditions,Olivier Irumva,"Lu3, Yusong Li1 | 1 Department of Civil and Environmental Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska 68588-053, United States | 2 Nanomaterials Characterization Core, University of Nebraska Medical Center, Omaha, Nebraska 68198, United States"
CONF_3269,"Microplastic bioaccumulation in a mammal of conservation concern, the San Nicolas Island Fox (Urocyon littoralis dickeyi)",Eve N. Rowland,"Hayek2, Sakshi Patil2, Marcus A. Garcia2 | 1 Biology Department and Museum of Southwestern Biology, University of New Mexico, Albuquerque, NM, USA | 2 Department of Pharmaceutical Sciences, University of New Mexico, Albuquerque, NM, USA | 3 Environmental Planning and Conservation Branch, Naval Base Ventura County, Point Mugu, CA, USA"
CONF_3271,NLRP3 inflammasome activation is a potential mechanism linking oral micro-nanoplastics exposure to atherosclerosis,hanism linking oral micro-nanoplastics exposure to,
CONF_3272,Neuropsychiatric Implications of Plastic Pollution,Elizabeth Ryznar,"1 Department of Psychiatry, St. George's University | 2 Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine | 3 The Physician and Scientist Network Addressing Plastics and Health"
CONF_3273,Photoaged Microplastics Impair Mechanosensitive Endothelial Ion Channels to Alter Calcium Flux and Notch Signaling,elial Ion Channels to Alter Calcium Flux and Notch,
CONF_3274,Plastic Pollution and Hepatic Pathophysiology: Emerging Paradigms of Plastic Characterization Using Optical and Mass Spectrometry Approaches,Rama R. Gullapalli,"1 Department of Pathology, University of New Mexico"
CONF_3276,Polystyrene nanoplastics impact the growth and architecture of a “synthetic” small intestinal microbiota,Shirmin Islam,"1Department of Biological Sciences, Binghamton University, Binghamton, NY | 2Binghamton Biofilm Research Center, Binghamton University, Binghamton, NY"
CONF_3278,"Potent Neurotoxicity of Nanoplastic and Pesticide Co-exposures In Vitro Thrall, S; Stradtman, S; DeSantis, K; Pearson, B.",Oregon State University,
CONF_3279,Potentiating effect of Polystyrene Nanoplastics to Dichlorodiphenyltrichloroethane (DDT),in Zebrafish larvae.,"Oluniyi O. Fadare1,2*, Lixia Zhao2, Liang-Hong Guo2, Wan Bin2, Jeremy L. Conkle3 | 1 Department of Physical Sciences, Eastern New Mexico University, Portales | 2 State Key Laboratory of Environmental Chemistry and Ecotoxicology, Chinese Academy of | Sciences, Beijing, PRC. | 3 Delaware River Basin Commission, Trenton, NJ, USA | *Corresponding author: oluniyi.fadare@enmu.edu"
CONF_3281,Quantifying Widespread Microplastic Pollution in Coastal Ecosystems of Bangladesh: A Multi-Matrix Assessment,Md Bayzid Mahmud,"*Corresponding author: bayzid.ocn@gmail.com | 1 Department of Oceanography & Hydrography, Bangladesh Maritime University, Dhaka, Bangladesh | 2 Department of Fisheries, University of Dhaka, Dhaka, Bangladesh"
CONF_3282,Quantitative Analysis of Microplastics in Breast Milk Using Integrated Microscopy and Spectroscopic Approaches,Laurissa Barela,"1 Department of Pharmaceutical Sciences, College of Pharmacy, University of New Mexico Health Sciences, | 2 New York University, Grossman School of Medicine"
CONF_3289,Spatiotemporal assessment of microplastic incidence in the Atoyac basin — a key watershed in Mexico,Andrea Arredondo-Navarro,
CONF_3290,Spray Dryer Preparation of Micro- and Nanoplastic Particles for Toxicity Assessment Studies,Andrea Adamcakova-Dodd,"Department of Occupational and Environmental Health, College of Public Health, University of Iowa, Iowa City, Iowa"
CONF_3294,Transport and occurrence of tire-related chemicals and their transformation products in sediments of populated,transformation products in sediments of populated,"Oluniyi O. Fadare1, Andrew Gray2, Clare Murphy-Hagan2, Zhongkun Du3, Jay Gan2 | 1 Department of Physical Sciences, Eastern New Mexico University, Portales, NM | 2 Department of Environmental Sciences, University of California Riverside, CA | 3 College of Resources and Environment, Shandong Agricultural University, China"
CONF_3295,Trouble in Paradise: Characterization and Modeling of Heavy Metal Adsorption on Microplastics Across Global,vy Metal Adsorption on Microplastics Across Global,"Robert M. Taylor1, Lisa Erdle2, Marcus Garcia1, Alexandria Sandoval3, Rawan Lilo3, Nicholas Gabaldon3, Mariah Liedy3, | Abdul-Mehdi S. Ali4, Laura V. Gonzalez Bosc5, Marcus Eriksen2, Justin T. Baca3 | 1 University of New Mexico, Department of Pharmaceutical Sciences, Albuquerque, New Mexico, USA | 2 The 5 Gyres Institute, Los Angeles, California, USA | 3 University of New Mexico, Department of Emergency Medicine, Albuquerque, New Mexico, USA | 4 University of New Mexico, Department of Earth and Planetary Sciences, Albuquerque, New Mexico, USA | 5 University of New Mexico, Department of Cell Biology and Physiology, Albuquerque, New Mexico, USA"
CONF_3296,Uncovering Microplastic Pollution Pathways in Cave Systems Using Cutting-Edge Spectroscopy,Ranalda L. Tsosie,"New Mexico Institute of Mining and Technology, Socorro, NM"
CONF_3297,Unexpectedly High Accumulation of Nanoplastics in the Human Placenta: Higher Levels than in the Brain and Liver,Zeh Yasue Mitsukura,
CONF_3298,"Visualizing micro/nanoplastic effects on the brain: Microvascular pathology Elaine L Bearer, Marcus A. Garcia, Andres Collazo, Zhongying Wang, Natalie Adolphi, Arvind Caprihan, Cathleen F. Martinez,",Paul Webster,"Neurodegenerative disease is definitively diagnosed by histopathology post-mortem. While diagnosing such cases, | perivascular glossy deposits were discovered. Earlier neuropathologists dismissed these as hemosiderin from old | hemorrhages which should stain for iron. However, these newly observed deposits did not stain. Guessing these might be"
CONF_3301,A novel model of acute vascular nanoplastics exposure,Pierce L. Massie,"Lunden Friberg, BS3, Mostafa Sabouri, MS3, Daniel Machin, PhD3, Matt Justus, MS3, Andrea Iturralde-Carillo, MD1, Brittany B. | Coffman, MD4, Rowza T. Rumma, MD1, Carolyn Pace, BS1, Matthew Campen, PhD2, Ross M. Clark, MD, MBA, FSVS1,3 | 1 University of New Mexico School of Medicine, Department of Surgery | 2 University of New Mexico College of Pharmacy, Department of Pharmaceutical Sciences"
